"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 19 10:29:36 UTC 2026","Thu Mar 19 10:29:52 UTC 2026","15904","tests","test_google_maps_api","Test_create_location","","","test_create_new_place","Test create, update, delete new location"
"passed","Thu Apr 20 07:31:18 UTC 2023","Thu Apr 20 07:31:26 UTC 2023","7786","project.tests","test_google_maps_api","Test_create_location","","","test_create_new_place","Test create, update, delete new location"
